cid,pid,rank
c1022,p782,15
c1022,p102,16
c1022,p81,17
c1022,p195,18
c1022,p193,19
c1022,p1498,20
c1023,p2058,1
c1023,p1976,2
c1023,p372,3
c1023,p552,4
c1023,p1160,5
c1023,p242,6
c1023,p271,7
c1023,p2701,8
c1023,p1296,9
c1023,p553,10
c1023,p474,11
c1023,p224,12
c1023,p117,13
c1023,p1294,14
c1023,p153,15
c1023,p151,16
c1023,p1074,17
c1023,p243,18
c1023,p586,19
c1023,p2975,20
c1024,p91,1
c1024,p2657,2
c1024,p1624,3
c1024,p2656,4
c1024,p590,5
c1024,p604,6
c1024,p0,7
c1024,p2647,8
c1024,p177,9
c1024,p174,10
c1024,p3428,11
c1024,p4,12
c1024,p550,13
c1024,p657,14
c1024,p89,15
c1024,p1215,16
c1024,p649,17
c1024,p1696,18
c1024,p692,19
c1024,p592,20
c1025,p2867,1
c1025,p2987,2
c1025,p69,3
c1025,p270,4
c1025,p59,5
c1025,p162,6
c1025,p631,7
c1025,p242,8
c1025,p3140,9
c1025,p632,10
c1025,p60,11
c1025,p592,12
c1025,p508,13
c1025,p21,14
c1025,p3389,15
c1025,p907,16
c1025,p2986,17
c1025,p283,18
c1025,p66,19
c1025,p271,20
c1026,p36,1
c1026,p507,2
c1026,p32,3
c1026,p3355,4
c1026,p11,5
c1026,p124,6
c1026,p826,7
c1026,p291,8
c1026,p2986,9
c1026,p553,10
c1026,p2867,11
c1026,p3356,12
c1026,p2209,13
c1026,p177,14
c1026,p40,15
c1026,p3019,16
c1026,p2868,17
c1026,p552,18
c1026,p907,19
c1026,p267,20
c1027,p876,1
c1027,p3017,2
c1027,p1146,3
c1027,p3015,4
c1027,p435,5
c1027,p874,6
c1027,p3014,7
c1027,p224,8
c1027,p878,9
c1027,p287,10
c1027,p2668,11
c1027,p1294,12
c1027,p393,13
c1027,p90,14
c1027,p3145,15
c1027,p66,16
c1027,p2660,17
c1027,p286,18
c1027,p602,19
c1027,p2056,20
c1030,p659,1
c1030,p2975,2
c1030,p91,3
c1030,p604,4
c1030,p392,5
c1030,p692,6
c1030,p428,7
c1030,p1077,8
c1030,p876,9
c1030,p312,10
c1030,p852,11
c1030,p174,12
c1030,p166,13
c1030,p286,14
c1030,p464,15
c1030,p134,16
c1030,p1225,17
c1030,p287,18
c1030,p189,19
c1030,p2056,20
c1031,p603,1
c1031,p285,2
c1031,p635,3
c1031,p504,4
c1031,p283,5
c1031,p1088,6
c1031,p324,7
c1031,p120,8
c1031,p878,9
c1031,p177,10
c1031,p1357,11
c1031,p1457,12
c1031,p2357,13
c1031,p2975,14
c1031,p503,15
c1031,p1436,16
c1031,p3428,17
c1031,p59,18
c1031,p695,19
c1031,p3019,20
c1032,p78,1
c1032,p3534,2
c1032,p371,3
c1032,p240,4
c1032,p357,5
c1032,p2852,6
c1032,p567,7
c1032,p161,8
c1032,p2806,9
c1032,p745,10
c1032,p44,11
c1032,p2853,12
c1032,p3559,13
c1032,p201,14
c1032,p2949,15
c1032,p869,16
c1032,p492,17
c1032,p266,18
c1032,p794,19
c1032,p1042,20
c1033,p315,1
c1033,p102,2
c1033,p2949,3
c1033,p250,4
c1033,p109,5
c1033,p263,6
c1033,p674,7
c1033,p3580,8
c1033,p57,9
c1033,p364,10
c1033,p131,11
c1033,p1974,12
c1033,p49,13
c1033,p602,14
c1033,p1219,15
c1033,p1573,16
c1033,p690,17
c1033,p194,18
c1033,p863,19
c1033,p3425,20
c1036,p134,1
c1036,p603,2
c1036,p2788,3
c1036,p1034,4
c1036,p319,5
c1036,p271,6
c1036,p241,7
c1036,p80,8
c1036,p3077,9
c1036,p3155,10
c1036,p344,11
c1036,p17,12
c1036,p239,13
c1036,p21,14
c1036,p469,15
c1036,p715,16
c1036,p572,17
c1036,p503,18
c1036,p124,19
c1036,p240,20
c1037,p871,1
c1037,p633,2
c1037,p2807,3
c1037,p59,4
c1037,p119,5
c1037,p1027,6
c1037,p2975,7
c1037,p122,8
c1037,p17,9
c1037,p428,10
c1037,p2987,11
c1037,p2867,12
c1037,p2865,13
c1037,p863,14
c1037,p1219,15
c1037,p2986,16
c1037,p634,17
c1037,p1627,18
c1037,p2806,19
c1037,p878,20
c1038,p289,1
c1038,p1080,2
c1038,p1010,3
c1038,p2472,4
c1038,p46,5
c1038,p808,6
c1038,p2455,7
c1038,p495,8
c1038,p49,9
c1038,p614,10
c1038,p871,11
c1038,p3168,12
c1038,p241,13
c1038,p151,14
c1038,p1219,15
c1038,p2925,16
c1038,p66,17
c1038,p856,18
c1038,p604,19
c1038,p1050,20
c1039,p60,1
c1039,p2865,2
c1039,p75,3
c1039,p287,4
c1039,p2867,5
c1039,p2873,6
c1039,p2685,7
c1039,p2986,8
c1039,p632,9
c1039,p76,10
c1039,p2866,11
c1039,p508,12
c1039,p2668,13
c1039,p3155,14
c1039,p77,15
c1039,p3186,16
c1039,p3188,17
c1039,p3189,18
c1039,p337,19
c1039,p66,20
c104,p2669,1
c104,p2867,2
c104,p240,3
c104,p932,4
c104,p941,5
c104,p3019,6
c104,p2660,7
c104,p2985,8
c104,p1034,9
c104,p878,10
c104,p349,11
c104,p2873,12
c104,p396,13
c104,p2853,14
c104,p2988,15
c104,p356,16
c104,p543,17
c104,p311,18
c104,p292,19
c104,p350,20
c1040,p199,1
c1040,p1909,2
c1040,p173,3
c1040,p1080,4
c1040,p0,5
c1040,p1320,6
c1040,p851,7
c1040,p692,8
c1040,p1157,9
c1040,p476,10
c1040,p18,11
c1040,p2701,12
c1040,p175,13
c1040,p174,14
c1040,p21,15
c1040,p3077,16
c1040,p422,17
c1040,p153,18
c1040,p224,19
c1040,p54,20
c1041,p282,1
c1041,p851,2
c1041,p3777,3
c1041,p285,4
c1041,p1245,5
c1041,p3531,6
c1041,p1079,7
c1041,p583,8
c1041,p89,9
c1041,p560,10
c1041,p192,11
c1041,p2057,12
c1041,p18,13
c1041,p315,14
c1041,p863,15
c1041,p54,16
c1041,p663,17
c1041,p1320,18
c1041,p173,19
c1041,p2808,20
c1042,p1658,1
c1042,p383,2
c1042,p987,3
c1042,p1558,4
c1042,p174,5
c1042,p53,6
c1042,p3019,7
c1042,p58,8
c1042,p1112,9
c1042,p692,10
c1042,p587,11
c1042,p182,12
c1042,p3425,13
c1042,p3449,14
c1042,p484,15
c1042,p3155,16
c1042,p3077,17
c1042,p544,18
c1042,p339,19
c1042,p46,20
c1044,p131,1
c1044,p391,2
c1044,p456,3
c1044,p344,4
c1044,p845,5
c1044,p846,6
c1044,p580,7
c1044,p486,8
c1044,p525,9
c1044,p9,10
c1044,p557,11
c1044,p134,12
c1044,p125,13
c1044,p659,14
c1044,p719,15
c1044,p604,16
c1044,p27,17
c1044,p429,18
c1044,p3404,19
c1044,p1024,20
c1045,p55,1
c1045,p0,2
c1045,p3168,3
c1045,p2788,4
c1045,p285,5
c1045,p128,6
c1045,p454,7
c1045,p3116,8
c1045,p283,9
c1045,p635,10
c1045,p485,11
c1045,p3391,12
c1045,p124,13
c1045,p348,14
c1045,p876,15
c1045,p78,16
c1045,p3183,17
c1045,p1164,18
c1045,p2639,19
c1045,p468,20
c1046,p907,1
c1046,p2867,2
c1046,p2986,3
c1046,p2987,4
c1046,p59,5
c1046,p75,6
c1046,p2988,7
c1046,p1016,8
c1046,p3390,9
c1046,p2865,10
c1046,p620,11
c1046,p3728,12
c1046,p32,13
c1046,p3192,14
c1046,p349,15
c1046,p2985,16
c1046,p90,17
c1046,p2873,18
c1046,p3698,19
c1046,p218,20
c1047,p714,1
c1047,p716,2
c1047,p134,3
c1047,p452,4
c1047,p2919,5
c1047,p54,6
c1047,p52,7
c1047,p285,8
c1047,p2975,9
c1047,p25,10
c1047,p2636,11
c1047,p1436,12
c1047,p922,13
c1047,p465,14
c1047,p1219,15
c1047,p2902,16
c1047,p1340,17
c1047,p58,18
c1047,p344,19
c1047,p3396,20
c1048,p17,1
c1048,p2975,2
c1048,p2988,3
c1048,p242,4
c1048,p2434,5
c1048,p134,6
c1048,p3183,7
c1048,p3078,8
c1048,p177,9
c1048,p2925,10
c1048,p3229,11
c1048,p350,12
c1048,p271,13
c1048,p346,14
c1048,p851,15
c1048,p2987,16
c1048,p25,17
c1048,p1132,18
c1048,p820,19
c1048,p52,20
c1049,p2313,1
c1049,p78,2
c1049,p558,3
c1049,p3447,4
c1049,p3534,5
c1049,p3299,6
c1049,p2640,7
c1049,p131,8
c1049,p281,9
c1049,p3161,10
c1049,p161,11
c1049,p464,12
c1049,p3690,13
c1049,p734,14
c1049,p337,15
c1049,p774,16
c1049,p177,17
c1049,p1096,18
c1049,p301,19
c1049,p567,20
c105,p878,1
c105,p850,2
c105,p422,3
c105,p177,4
c105,p933,5
c105,p1219,6
c105,p999,7
c105,p43,8
c105,p151,9
c105,p3203,10
c105,p3684,11
c105,p760,12
c105,p1017,13
c105,p2975,14
c105,p476,15
c105,p934,16
c105,p42,17
c105,p86,18
c105,p939,19
c105,p27,20
c1050,p305,1
c1050,p35,2
c1050,p266,3
c1050,p3132,4
c1050,p3354,5
c1050,p3150,6
c1050,p240,7
c1050,p349,8
c1050,p2209,9
c1050,p1712,10
c1050,p552,11
c1050,p39,12
c1050,p328,13
c1050,p567,14
c1050,p2640,15
c1050,p160,16
c1050,p553,17
c1050,p2867,18
c1050,p177,19
c1050,p40,20
c1051,p282,1
c1051,p720,2
c1051,p3151,3
c1051,p2057,4
c1051,p511,5
c1051,p9,6
c1051,p1219,7
c1051,p3077,8
c1051,p54,9
c1051,p1519,10
c1051,p3141,11
c1051,p173,12
c1051,p3057,13
c1051,p3155,14
c1051,p350,15
c1051,p252,16
c1051,p1554,17
c1051,p463,18
c1051,p552,19
c1051,p2757,20
c1052,p350,1
c1052,p349,2
c1052,p78,3
c1052,p558,4
c1052,p557,5
c1052,p793,6
c1052,p3447,7
c1052,p2648,8
c1052,p166,9
c1052,p0,10
c1052,p2640,11
c1052,p3379,12
c1052,p3534,13
c1052,p170,14
c1052,p371,15
c1052,p276,16
c1052,p16,17
c1052,p808,18
c1052,p745,19
c1052,p1042,20
c1053,p1658,1
c1053,p2950,2
c1053,p676,3
c1053,p1629,4
c1053,p1627,5
c1053,p1974,6
c1053,p1573,7
c1053,p602,8
c1053,p188,9
c1053,p863,10
c1053,p169,11
c1053,p3440,12
c1053,p282,13
c1053,p1812,14
c1053,p1261,15
c1053,p1219,16
c1053,p906,17
c1053,p604,18
c1053,p3428,19
c1053,p2949,20
c1054,p3133,1
c1054,p856,2
c1054,p177,3
c1054,p3140,4
c1054,p583,5
c1054,p1219,6
c1054,p581,7
c1054,p280,8
c1054,p69,9
c1054,p81,10
c1054,p271,11
c1054,p535,12
c1054,p1853,13
c1054,p270,14
c1054,p579,15
c1054,p423,16
c1054,p175,17
c1054,p1218,18
c1054,p2975,19
c1054,p370,20
c1055,p2853,1
c1055,p808,2
c1055,p303,3
c1055,p821,4
c1055,p291,5
c1055,p1152,6
c1055,p336,7
c1055,p826,8
c1055,p496,9
c1055,p2661,10
c1055,p3234,11
c1055,p2669,12
c1055,p1069,13
c1055,p3019,14
c1055,p2058,15
c1055,p428,16
c1055,p3517,17
c1055,p3031,18
c1055,p68,19
c1055,p39,20
c1056,p67,1
c1056,p2868,2
c1056,p336,3
c1056,p2867,4
c1056,p39,5
c1056,p243,6
c1056,p241,7
c1056,p66,8
c1056,p552,9
c1056,p1229,10
c1056,p1294,11
c1056,p65,12
c1056,p1683,13
c1056,p1260,14
c1056,p941,15
c1056,p154,16
c1056,p428,17
c1056,p422,18
c1056,p3155,19
c1056,p276,20
c1057,p2986,1
c1057,p2869,2
c1057,p2988,3
c1057,p2058,4
c1057,p177,5
c1057,p3383,6
c1057,p2057,7
c1057,p3155,8
c1057,p27,9
c1057,p3535,10
c1057,p3019,11
c1057,p349,12
c1057,p36,13
c1057,p2985,14
c1057,p37,15
c1057,p66,16
c1057,p1040,17
c1057,p2638,18
c1057,p3698,19
c1057,p360,20
c1058,p180,1
c1058,p604,2
c1058,p583,3
c1058,p1079,4
c1058,p502,5
c1058,p1498,6
c1058,p1868,7
c1058,p692,8
c1058,p573,9
c1058,p282,10
c1058,p720,11
c1058,p89,12
c1058,p1080,13
c1058,p851,14
c1058,p288,15
c1058,p1225,16
c1058,p27,17
c1058,p237,18
c1058,p1076,19
c1058,p1077,20
c1059,p156,1
c1059,p285,2
c1059,p0,3
c1059,p3425,4
c1059,p3428,5
c1059,p3035,6
c1059,p604,7
c1059,p557,8
c1059,p32,9
c1059,p276,10
c1059,p344,11
c1059,p195,12
c1059,p863,13
c1059,p162,14
c1059,p178,15
c1059,p134,16
c1059,p174,17
c1059,p1070,18
c1059,p283,19
c1059,p583,20
c106,p21,1
c106,p3140,2
c106,p71,3
c106,p177,4
c106,p2583,5
c106,p2087,6
c106,p2057,7
c106,p70,8
c106,p3204,9
c106,p263,10
c106,p429,11
c106,p3013,12
c106,p925,13
c106,p2865,14
c106,p2988,15
c106,p857,16
c106,p2638,17
c106,p678,18
c106,p463,19
c106,p3389,20
c1060,p2865,1
c1060,p240,2
c1060,p251,3
c1060,p270,4
c1060,p632,5
c1060,p383,6
c1060,p272,7
c1060,p193,8
c1060,p287,9
c1060,p580,10
c1060,p124,11
c1060,p3078,12
c1060,p2988,13
c1060,p3697,14
c1060,p9,15
c1060,p2894,16
c1060,p66,17
c1060,p508,18
c1060,p194,19
c1060,p1016,20
c1061,p3389,1
c1061,p3192,2
c1061,p0,3
c1061,p2865,4
c1061,p632,5
c1061,p907,6
c1061,p3078,7
c1061,p3183,8
c1061,p119,9
c1061,p2986,10
c1061,p73,11
c1061,p3229,12
c1061,p76,13
c1061,p59,14
c1061,p75,15
c1061,p240,16
c1061,p66,17
c1061,p474,18
c1061,p36,19
c1061,p2866,20
c1062,p2807,1
c1062,p356,2
c1062,p11,3
c1062,p909,4
c1062,p3534,5
c1062,p557,6
c1062,p1176,7
c1062,p2975,8
c1062,p3035,9
c1062,p2313,10
c1062,p323,11
c1062,p71,12
c1062,p177,13
c1062,p120,14
c1062,p3140,15
c1062,p339,16
c1062,p1909,17
c1062,p349,18
c1062,p110,19
c1062,p280,20
c1064,p3687,1
c1064,p3372,2
c1064,p572,3
c1064,p867,4
c1064,p3363,5
c1064,p794,6
c1064,p110,7
c1064,p734,8
c1064,p325,9
c1064,p3007,10
c1064,p2865,11
c1064,p2649,12
c1064,p2434,13
c1064,p159,14
c1064,p929,15
c1064,p3684,16
c1064,p326,17
c1064,p322,18
c1064,p1097,19
c1064,p336,20
c1065,p177,1
c1065,p2206,2
c1065,p2456,3
c1065,p400,4
c1065,p70,5
c1065,p1758,6
c1065,p71,7
c1065,p381,8
c1065,p422,9
c1065,p592,10
c1065,p363,11
c1065,p145,12
c1065,p3142,13
c1065,p1774,14
c1065,p55,15
c1065,p1222,16
c1065,p362,17
c1065,p490,18
c1065,p1133,19
c1065,p977,20
c1066,p151,1
c1066,p3150,2
c1066,p567,3
c1066,p371,4
c1066,p143,5
c1066,p1041,6
c1066,p826,7
c1066,p357,8
c1066,p228,9
c1066,p158,10
c1066,p3355,11
c1066,p507,12
c1066,p119,13
c1066,p2034,14
c1066,p3019,15
c1066,p340,16
c1066,p240,17
c1066,p2707,18
c1066,p2867,19
c1066,p2737,20
c1067,p1019,1
c1067,p1016,2
c1067,p66,3
c1067,p119,4
c1067,p2868,5
c1067,p241,6
c1067,p2985,7
c1067,p271,8
c1067,p508,9
c1067,p3229,10
c1067,p3389,11
c1067,p620,12
c1067,p2987,13
c1067,p2988,14
c1067,p2865,15
c1067,p631,16
c1067,p3390,17
c1067,p2685,18
c1067,p122,19
c1067,p507,20
c1068,p632,1
c1068,p2867,2
c1068,p119,3
c1068,p2205,4
c1068,p287,5
c1068,p241,6
c1068,p634,7
c1068,p20,8
c1068,p80,9
c1068,p2868,10
c1068,p2668,11
c1068,p583,12
c1068,p242,13
c1068,p240,14
c1068,p2685,15
c1068,p2985,16
c1068,p507,17
c1068,p71,18
c1068,p174,19
c1068,p177,20
c1069,p2640,1
c1069,p3383,2
c1069,p77,3
c1069,p131,4
c1069,p3177,5
c1069,p189,6
c1069,p588,7
c1069,p3401,8
c1069,p552,9
c1069,p692,10
c1069,p241,11
c1069,p170,12
c1069,p182,13
c1069,p3390,14
c1069,p1721,15
c1069,p3325,16
c1069,p3229,17
c1069,p2831,18
c1069,p3007,19
c1069,p3140,20
c107,p987,1
c107,p602,2
c107,p137,3
c107,p344,4
c107,p124,5
c107,p385,6
c107,p428,7
c107,p286,8
c107,p1974,9
c107,p0,10
c107,p308,11
c107,p503,12
c107,p3151,13
c107,p57,14
c107,p1593,15
c107,p21,16
c107,p850,17
c107,p420,18
c107,p383,19
c107,p1,20
c1071,p265,1
c1071,p581,2
c1071,p2058,3
c1071,p187,4
c1071,p2987,5
c1071,p305,6
c1071,p3140,7
c1071,p158,8
c1071,p1260,9
c1071,p3007,10
c1071,p3168,11
c1071,p371,12
c1071,p572,13
c1071,p385,14
c1071,p2668,15
c1071,p631,16
c1071,p21,17
c1071,p2869,18
c1071,p270,19
c1071,p2866,20
c1072,p3622,1
c1072,p276,2
c1072,p2640,3
c1072,p3712,4
c1072,p277,5
c1072,p340,6
c1072,p2703,7
c1072,p357,8
c1072,p39,9
c1072,p553,10
c1072,p1160,11
c1072,p2649,12
c1072,p281,13
c1072,p3404,14
c1072,p150,15
c1072,p3768,16
c1072,p3019,17
c1072,p2708,18
c1072,p3006,19
c1072,p2638,20
c1073,p119,1
c1073,p2949,2
c1073,p634,3
c1073,p1016,4
c1073,p2985,5
c1073,p1019,6
c1073,p631,7
c1073,p3229,8
c1073,p2975,9
c1073,p507,10
c1073,p3697,11
c1073,p3696,12
c1073,p122,13
c1073,p2807,14
c1073,p2864,15
c1073,p2869,16
c1073,p1034,17
c1073,p428,18
c1073,p188,19
c1073,p620,20
c1074,p344,1
c1074,p2866,2
c1074,p270,3
c1074,p0,4
c1074,p507,5
c1074,p241,6
c1074,p2853,7
c1074,p59,8
c1074,p18,9
c1074,p17,10
c1074,p2867,11
c1074,p3030,12
c1074,p3698,13
c1074,p634,14
c1074,p2975,15
c1074,p3192,16
c1074,p764,17
c1074,p284,18
c1074,p178,19
c1074,p2640,20
c1075,p632,1
c1075,p337,2
c1075,p38,3
c1075,p3014,4
c1075,p620,5
c1075,p2866,6
c1075,p2985,7
c1075,p2868,8
c1075,p420,9
c1075,p346,10
c1075,p3013,11
c1075,p907,12
c1075,p3012,13
c1075,p2864,14
c1075,p1034,15
c1075,p2291,16
c1075,p2873,17
c1075,p195,18
c1075,p3155,19
c1075,p871,20
c1076,p3092,1
c1076,p385,2
c1076,p240,3
c1076,p396,4
c1076,p46,5
c1076,p2866,6
c1076,p968,7
