cid,pid,quantity
c2,p32,2
c2,p41,1
c2,p557,1
c2,p1700,2
c2,p1034,3
c2,p3517,3
c2,p1253,2
c2,p3176,2
c3,p116,1
c3,p3164,2
c3,p3377,2
c3,p315,1
c3,p337,2
c3,p2788,1
c3,p1501,1
c3,p3304,1
c3,p3206,1
c3,p3218,1
c3,p3093,1
c3,p77,1
c3,p604,1
c3,p3472,2
c3,p463,1
c3,p384,1
c3,p46,6
c3,p1017,4
c3,p428,3
c3,p3379,1
c3,p3373,1
c3,p945,1
c3,p1909,1
c3,p189,1
c5,p9,2
c5,p25,3
c5,p649,7
c5,p815,8
c5,p1330,1
c5,p193,3
c5,p720,3
c5,p1110,1
c5,p2,2
c5,p392,2
c5,p1112,1
c5,p906,1
c5,p1750,1
c5,p1976,1
c5,p676,1
c5,p1038,1
c5,p188,1
c5,p109,1
c5,p287,2
c5,p286,2
c5,p602,3
c5,p863,1
c5,p1627,4
c5,p1075,2
c5,p210,1
c5,p719,1
c5,p654,1
c5,p2333,1
c5,p2358,2
c5,p399,2
c5,p17,4
c5,p3428,2
c5,p57,3
c5,p452,3
c5,p18,4
c5,p289,5
c5,p959,1
c5,p500,1
c5,p1252,1
c5,p1185,1
c5,p866,1
c5,p852,2
c5,p642,1
c5,p58,6
c5,p698,8
c5,p149,1
c5,p312,1
c5,p283,3
c5,p189,1
c5,p420,1
c5,p1237,1
c5,p1223,1
c5,p429,1
c5,p987,1
c5,p817,1
c5,p82,6
c5,p1470,1
c5,p659,1
c5,p53,7
c5,p714,8
c5,p715,8
c5,p716,8
c6,p275,1
c6,p71,2
c6,p268,2
c6,p684,1
c6,p2313,5
c6,p774,1
c6,p25,1
c6,p1245,1
c6,p3768,1
c6,p645,4
c6,p64,1
c6,p1688,1
c6,p931,2
c6,p1106,1
c6,p3678,1
c6,p3031,1
c6,p958,2
c6,p73,3
c6,p2869,3
c6,p1019,5
c6,p620,5
c6,p2864,3
c6,p3447,4
c6,p385,7
c6,p111,1
c6,p3064,1
c6,p888,2
c6,p676,2
c6,p1658,1
c6,p1627,3
c6,p322,1
c6,p2716,1
c6,p2712,1
c6,p1451,2
c6,p3289,2
c6,p3077,1
c6,p243,4
c6,p2717,1
c6,p17,1
c6,p1254,1
c6,p144,1
c6,p60,2
c6,p2865,2
c6,p2867,3
c6,p61,2
c6,p3698,1
c6,p59,6
c6,p76,1
c6,p124,3
c6,p631,1
c6,p634,2
c6,p632,3
c6,p75,3
c6,p2784,1
c6,p998,6
c6,p997,4
c6,p995,1
c6,p1081,5
c6,p3617,1
c6,p1937,1
c6,p481,1
c6,p1076,3
c6,p271,2
c6,p270,2
c6,p3697,1
c6,p242,2
c6,p66,2
c6,p68,1
c6,p2808,10
c6,p869,1
c6,p936,1
c6,p69,6
c6,p70,2
c6,p177,2
c6,p878,4
c6,p782,5
c6,p1546,2
c6,p1545,2
c6,p1800,2
c6,p932,1
c6,p942,1
c6,p1485,3
c6,p1473,2
c6,p3184,1
c6,p579,1
c6,p112,20
c6,p63,1
c6,p74,5
c6,p1319,1
c6,p3028,1
c6,p850,2
c6,p1016,3
c6,p747,2
c6,p1294,5
c6,p308,1
c6,p324,1
c6,p228,1
c6,p1207,1
c6,p332,2
c6,p881,1
c6,p3404,1
c6,p967,2
c6,p1000,1
c6,p294,1
c6,p153,1
c6,p874,3
c6,p154,1
c6,p65,2
c6,p3570,1
c6,p1533,1
c6,p1260,1
c6,p88,12
c6,p296,1
c6,p151,3
c6,p3168,2
c6,p2975,1
c6,p1296,3
c6,p62,4
c6,p67,2
c6,p648,7
c6,p1067,1
c6,p2701,15
c6,p72,3
c6,p1631,2
c6,p113,14
c6,p1020,4
c6,p3690,1
c6,p2647,4
c6,p2653,9
c6,p2656,9
c6,p2654,4
c6,p3159,1
c6,p1664,2
c6,p721,2
c6,p1109,1
c6,p429,2
c6,p423,2
c6,p1034,3
c6,p626,1
c7,p495,1
c7,p3164,2
c7,p1441,1
c7,p774,1
c7,p277,1
c7,p550,3
c7,p3635,2
c7,p3031,3
c7,p377,1
c7,p732,1
c7,p318,4
c7,p396,4
c7,p483,5
c7,p1381,2
c7,p1114,1
c7,p1167,1
c7,p212,1
c7,p1277,1
c7,p674,2
c7,p109,3
c7,p2949,4
c7,p863,2
c7,p311,1
c7,p327,1
c7,p325,1
c7,p12,1
c7,p3078,8
c7,p2648,3
c7,p503,5
c7,p77,5
c7,p211,1
c7,p384,2
c7,p150,4
c7,p1794,1
c7,p941,1
c7,p2649,3
c7,p324,1
c7,p299,2
c7,p340,7
c7,p2384,1
c7,p335,4
c7,p2975,1
c7,p175,2
c7,p3195,3
c7,p3622,4
c7,p3339,5
c7,p557,3
c8,p1366,1
c8,p1126,2
c8,p1247,1
c8,p301,3
c8,p135,5
c8,p1170,1
c8,p81,3
c8,p454,1
c8,p1357,7
c8,p106,1
c8,p204,1
c8,p1375,3
c8,p141,1
c8,p1984,1
c8,p64,9
c8,p254,2
c8,p105,3
c8,p931,9
c8,p1106,4
c8,p307,6
c8,p649,6
c8,p815,5
c8,p1697,3
c8,p1222,3
c8,p687,2
c8,p99,3
c8,p387,1
c8,p104,2
c8,p1019,2
c8,p620,10
c8,p599,1
c8,p1859,1
c8,p1860,1
c8,p385,14
c8,p470,2
c8,p111,1
c8,p193,1
c8,p473,4
c8,p84,4
c8,p720,1
c8,p90,2
c8,p803,2
c8,p1374,4
c8,p1751,4
c8,p1861,5
c8,p1167,1
c8,p888,1
c8,p676,1
c8,p1658,1
c8,p109,2
c8,p102,3
c8,p103,6
c8,p47,1
c8,p585,3
c8,p1077,3
c8,p86,7
c8,p97,2
c8,p977,2
c8,p2082,1
c8,p2333,1
c8,p91,2
c8,p904,1
c8,p540,4
c8,p107,5
c8,p875,5
c8,p1308,4
c8,p859,1
c8,p737,4
c8,p253,1
c8,p849,4
c8,p306,5
c8,p1735,1
c8,p108,6
c8,p174,1
c8,p364,1
c8,p1436,2
c8,p635,3
c8,p1351,1
c8,p344,2
c8,p17,4
c8,p1218,2
c8,p1079,1
c8,p1254,2
c8,p60,1
c8,p61,2
c8,p508,1
c8,p124,10
c8,p633,1
c8,p631,3
c8,p80,3
c8,p632,1
c8,p75,5
c8,p995,4
c8,p1118,1
c8,p407,1
c8,p2411,1
c8,p152,3
c8,p1692,1
c8,p18,1
c8,p271,6
c8,p270,1
c8,p242,2
c8,p66,7
c8,p241,1
c8,p68,2
c8,p1486,2
c8,p686,2
c8,p2365,2
c8,p1061,1
c8,p891,1
c8,p889,1
c8,p583,2
c8,p690,2
c8,p669,1
c8,p1180,1
c8,p1721,2
c8,p936,4
c8,p934,1
c8,p935,1
c8,p177,3
c8,p607,4
c8,p878,3
c8,p1102,1
c8,p435,4
c8,p46,3
c8,p94,4
c8,p150,1
c8,p782,2
c8,p524,1
c8,p199,1
c8,p166,4
c8,p852,2
c8,p87,3
c8,p1206,3
c8,p932,2
c8,p309,6
c8,p457,12
c8,p252,1
c8,p577,4
c8,p1438,2
c8,p942,4
c8,p1485,3
c8,p972,1
c8,p358,6
c8,p63,7
c8,p83,10
c8,p58,1
c8,p1409,4
c8,p850,5
c8,p1016,2
c8,p747,3
c8,p336,4
c8,p186,2
c8,p461,1
c8,p1010,1
c8,p308,3
c8,p1044,1
c8,p1027,2
c8,p816,5
c8,p698,5
c8,p39,6
c8,p100,1
c8,p587,1
c8,p78,2
c8,p427,1
c8,p334,1
c8,p340,4
c8,p138,4
c8,p264,3
c8,p208,1
c8,p207,2
c8,p101,2
c8,p1312,1
c8,p2056,1
c8,p1000,2
c8,p294,1
c8,p1847,1
c8,p223,2
c8,p422,4
c8,p1062,1
c8,p33,2
c8,p153,2
c8,p2264,1
c8,p283,1
c8,p1260,6
c8,p88,4
c8,p964,1
c8,p1050,2
c8,p1650,1
c8,p1603,2
c8,p95,3
c8,p1543,1
c8,p151,5
c8,p67,6
c8,p688,2
c8,p1481,4
c8,p96,6
c8,p1123,1
c8,p219,1
c8,p56,3
c8,p420,1
c8,p51,2
c8,p992,1
c8,p1237,4
c8,p1223,3
c8,p1764,2
c8,p744,1
c8,p1153,1
c8,p1872,1
c8,p817,6
c8,p82,6
c8,p52,1
c8,p659,2
c8,p53,3
c8,p55,2
c8,p898,3
c8,p54,1
c8,p1034,3
c8,p626,1
c8,p89,3
c8,p403,3
c8,p98,3
c9,p116,1
c9,p117,1
c9,p736,3
c9,p28,5
c9,p180,4
c9,p181,2
c9,p26,3
c9,p27,4
c9,p114,1
c9,p745,2
c9,p2142,1
c9,p111,1
c9,p1573,1
c9,p31,1
c9,p115,4
c9,p3268,1
c9,p3122,2
c9,p3123,2
c9,p80,7
c9,p3026,2
c9,p1144,1
c9,p112,2
c9,p3028,1
c9,p3269,1
c9,p2649,3
c9,p415,1
c9,p1435,1
c9,p118,1
c9,p2077,1
c9,p474,3
c9,p113,6
c9,p110,2
c9,p786,3
c10,p2923,1
c10,p77,1
c10,p21,1
c10,p3067,2
c10,p3229,1
c10,p2865,1
c10,p2867,1
c10,p119,2
c10,p2986,1
c10,p76,1
c10,p2685,1
c10,p907,1
c10,p3389,1
c10,p2988,1
c10,p2888,1
c10,p2866,1
c10,p2868,1
c10,p122,2
c10,p240,1
c10,p121,1
c10,p118,1
c10,p3032,1
c10,p120,1
c10,p3160,1
c10,p3159,1
c10,p3679,1
c10,p1470,1
c10,p3176,1
c11,p1774,10
c11,p1776,10
c11,p385,8
c11,p90,6
c11,p1107,12
c11,p174,22
c11,p60,15
c11,p59,15
c11,p76,15
c11,p124,25
c11,p2685,5
c11,p633,10
c11,p631,15
c11,p214,3
c11,p682,9
c11,p158,4
c11,p692,14
c11,p45,1
c11,p880,2
c11,p189,5
c11,p992,1
c11,p123,5
c11,p683,12
c12,p135,1
c12,p129,1
c12,p109,1
c12,p127,1
c12,p132,1
c12,p130,1
c12,p126,1
c12,p2574,2
c12,p486,2
c12,p128,1
c12,p134,1
c12,p17,2
c12,p125,1
c12,p131,1
c12,p18,2
c12,p2745,1
c12,p580,1
c12,p1010,1
c12,p133,1
c12,p688,1
c12,p1034,1
c13,p797,1
c13,p363,2
c13,p28,5
c13,p180,3
c13,p181,2
c13,p26,2
c13,p27,5
c13,p2313,2
c13,p774,3
c13,p548,1
c13,p141,4
c13,p143,2
c13,p931,1
c13,p1106,1
c13,p307,1
c13,p678,1
c13,p447,1
c13,p1019,1
c13,p136,1
c13,p697,1
c13,p37,1
c13,p652,2
c13,p994,1
c13,p1573,2
c13,p2949,3
c13,p286,2
c13,p602,4
c13,p216,2
c13,p863,4
c13,p1974,2
c13,p1467,1
c13,p102,1
c13,p1033,1
c13,p1195,1
c13,p636,1
c13,p382,2
c13,p2182,1
c13,p333,1
c13,p887,1
c13,p1086,1
c13,p3078,1
c13,p3077,3
c13,p572,1
c13,p306,1
c13,p490,1
c13,p243,1
c13,p1436,5
c13,p1218,2
c13,p192,1
c13,p3428,1
c13,p144,2
c13,p513,1
c13,p3229,1
c13,p124,1
c13,p907,2
c13,p2988,1
c13,p507,2
c13,p80,1
c13,p75,1
c13,p2815,1
c13,p145,3
c13,p3041,1
c13,p289,1
c13,p2868,1
c13,p66,3
c13,p240,3
c13,p2668,1
c13,p241,2
c13,p68,1
c13,p959,1
c13,p220,1
c13,p44,2
c13,p3559,1
c13,p3271,1
c13,p504,4
c13,p2808,1
c13,p463,2
c13,p878,1
c13,p2960,1
c13,p932,1
c13,p309,2
c13,p942,1
c13,p1862,2
c13,p1208,1
c13,p3556,1
c13,p45,2
c13,p2209,1
c13,p3019,1
c13,p142,3
c13,p517,1
c13,p3269,1
c13,p1016,1
c13,p1294,2
c13,p308,1
c13,p883,1
c13,p839,1
c13,p313,1
c13,p884,1
c13,p140,3
c13,p39,11
c13,p428,1
c13,p3012,1
c13,p3013,1
c13,p3017,1
c13,p858,1
c13,p100,1
c13,p1429,1
c13,p2649,2
c13,p807,1
c13,p133,1
c13,p484,2
c13,p1656,1
c13,p303,2
c13,p34,2
c13,p334,1
c13,p3082,1
c13,p3027,2
c13,p3181,1
c13,p184,1
c13,p263,1
c13,p138,1
c13,p264,1
c13,p3155,2
c13,p3141,2
c13,p3383,1
c13,p2831,3
c13,p2812,2
c13,p1311,2
c13,p3151,1
c13,p153,1
c13,p1749,1
c13,p2264,1
c13,p65,1
c13,p855,1
c13,p146,4
c13,p335,1
c13,p808,1
c13,p728,1
c13,p968,2
c13,p35,1
c13,p3512,1
c13,p3489,1
c13,p2975,2
c13,p651,2
c13,p30,1
c13,p1296,1
c13,p648,1
c13,p810,1
c13,p3049,1
c13,p2642,2
c13,p32,1
c13,p137,1
c13,p3501,1
c13,p1034,1
c13,p3353,2
c14,p3355,1
c14,p2768,1
c14,p923,3
c14,p1126,1
c14,p1513,5
c14,p2102,3
c14,p239,3
c14,p1196,3
c14,p1873,5
c14,p1743,4
c14,p1245,6
c14,p745,2
c14,p542,4
c14,p900,4
c14,p277,6
c14,p1569,1
c14,p931,12
c14,p1060,3
c14,p1106,10
c14,p307,10
c14,p1042,6
c14,p2159,2
c14,p3186,5
c14,p3031,6
c14,p3007,3
c14,p448,12
c14,p297,4
c14,p811,4
c14,p291,4
c14,p812,4
c14,p447,4
c14,p1554,4
c14,p437,4
c14,p559,4
c14,p511,12
c14,p1516,9
c14,p1817,2
c14,p178,4
c14,p359,1
c14,p360,1
c14,p2660,8
c14,p2670,4
c14,p2661,4
c14,p2669,4
c14,p1730,4
c14,p765,4
c14,p385,2
c14,p1078,3
c14,p136,1
c14,p2771,1
c14,p2205,2
c14,p2197,2
c14,p90,3
c14,p734,4
c14,p1389,3
c14,p155,2
c14,p3157,3
c14,p1304,1
c14,p2949,2
c14,p286,5
c14,p1261,2
c14,p2203,2
c14,p1195,3
c14,p157,2
c14,p480,2
c14,p1132,5
c14,p210,3
c14,p168,4
c14,p546,2
c14,p1364,3
c14,p2186,2
c14,p3005,5
c14,p3004,5
c14,p2974,3
c14,p778,1
c14,p3078,8
c14,p3077,8
c14,p541,8
c14,p91,3
c14,p985,3
c14,p3018,2
c14,p849,8
c14,p306,5
c14,p3189,5
c14,p174,4
c14,p1041,5
c14,p2094,3
c14,p1897,3
c14,p17,2
c14,p1218,4
c14,p131,5
c14,p1079,4
c14,p2767,1
c14,p3354,2
c14,p221,9
c14,p574,2
c14,p13,3
c14,p148,3
c14,p147,3
c14,p77,1
c14,p21,1
c14,p2987,10
c14,p59,25
c14,p76,5
c14,p124,40
c14,p2685,10
c14,p633,5
c14,p907,15
c14,p631,20
c14,p3389,5
c14,p2988,10
c14,p80,15
c14,p632,10
c14,p75,20
c14,p3079,3
c14,p3,2
c14,p1118,1
c14,p152,3
c14,p2915,1
c14,p2202,6
c14,p18,1
c14,p271,10
c14,p2866,5
c14,p2868,10
c14,p270,15
c14,p2985,10
c14,p242,10
c14,p66,15
c14,p240,10
c14,p269,5
c14,p2668,10
c14,p2873,5
c14,p36,8
c14,p1215,3
c14,p1649,3
c14,p2127,5
c14,p1746,3
c14,p535,2
c14,p583,9
c14,p1411,1
c14,p279,10
c14,p1721,5
c14,p623,3
c14,p2638,3
c14,p46,2
c14,p1017,8
c14,p94,6
c14,p150,6
c14,p1219,19
c14,p782,10
c14,p1546,3
c14,p1545,3
c14,p1800,3
c14,p871,6
c14,p813,4
c14,p290,4
c14,p3024,4
c14,p158,6
c14,p1146,1
c14,p166,1
c14,p852,11
c14,p1206,3
c14,p932,10
c14,p309,5
c14,p457,4
c14,p2288,9
c14,p988,1
c14,p899,4
c14,p1568,1
c14,p1699,2
c14,p942,12
c14,p1024,4
c14,p1208,4
c14,p3188,5
c14,p692,3
c14,p446,1
c14,p3184,20
c14,p1080,6
c14,p1320,2
c14,p2209,2
c14,p449,4
c14,p581,5
c14,p580,1
c14,p579,5
c14,p2737,1
c14,p2734,3
c14,p2732,3
c14,p2736,3
c14,p63,4
c14,p1409,3
c14,p3028,2
c14,p756,3
c14,p850,12
c14,p747,15
c14,p336,3
c14,p865,3
c14,p461,4
c14,p1010,3
c14,p1294,12
c14,p308,10
c14,p883,2
c14,p839,3
c14,p1886,8
c14,p884,1
c14,p544,4
c14,p3198,5
c14,p428,2
c14,p3012,1
c14,p3013,1
c14,p3017,1
c14,p3014,1
c14,p400,1
c14,p156,4
c14,p100,3
c14,p1429,6
c14,p941,3
c14,p807,4
c14,p149,2
c14,p3166,3
c14,p1207,4
c14,p224,5
c14,p2450,3
c14,p3035,6
c14,p3404,2
c14,p5,2
c14,p3027,3
c14,p2058,2
c14,p312,5
c14,p3149,9
c14,p3150,6
c14,p2640,8
c14,p1312,2
c14,p2057,6
c14,p227,5
c14,p3151,2
c14,p476,8
c14,p1847,6
c14,p223,10
c14,p422,8
c14,p153,35
c14,p1181,20
c14,p874,6
c14,p154,11
c14,p65,15
c14,p855,5
c14,p640,6
c14,p964,8
c14,p1650,4
c14,p151,25
c14,p2910,2
c14,p3356,1
c14,p808,12
c14,p968,4
c14,p35,4
c14,p2975,6
c14,p30,3
c14,p3158,3
c14,p1296,3
c14,p189,8
c14,p940,5
c14,p809,4
c14,p2326,4
c14,p780,3
c14,p248,2
c14,p328,3
c14,p2641,2
c14,p2647,4
c14,p2645,2
c14,p3160,4
c14,p3159,4
c14,p209,1
c14,p1190,8
c14,p1237,1
c14,p1223,1
c14,p3203,2
c14,p1032,12
c14,p429,8
c14,p1495,1
c14,p744,3
c14,p0,30
c14,p659,10
c14,p1145,1
c14,p525,2
c14,p877,6
c14,p2434,4
c14,p3340,2
c14,p2811,2
c14,p3345,2
c14,p2091,4
c14,p292,2
c14,p2430,4
c14,p1770,2
c14,p1125,4
c14,p3351,2
c14,p1015,4
c14,p2034,4
c14,p3352,2
c14,p3346,4
c14,p990,4
c14,p2455,3
c14,p543,8
c14,p1517,6
c14,p2472,2
c15,p159,1
c15,p9,4
c15,p1582,3
c15,p254,1
c15,p815,1
c15,p720,1
c15,p3211,1
c15,p253,1
c15,p251,2
c15,p3183,1
c15,p1185,1
c15,p1219,1
c15,p165,1
c15,p166,1
c15,p252,1
c15,p3019,1
c15,p816,1
c15,p698,1
c15,p39,1
c15,p160,1
c15,p167,2
c15,p161,1
c15,p162,1
c16,p882,6
c16,p275,4
c16,p159,2
c16,p315,2
c16,p28,1
c16,p181,1
c16,p695,2
c16,p1012,1
c16,p900,1
c16,p277,3
c16,p2869,2
c16,p620,4
c16,p2661,1
c16,p84,4
c16,p173,6
c16,p2205,2
c16,p392,2
c16,p381,6
c16,p172,1
c16,p2342,4
c16,p1808,3
c16,p2203,3
c16,p168,6
c16,p546,2
c16,p1077,1
c16,p346,6
c16,p892,7
c16,p719,6
c16,p776,4
c16,p1696,1
c16,p529,2
c16,p528,2
c16,p253,4
c16,p490,2
c16,p788,1
c16,p174,2
c16,p170,5
c16,p171,5
c16,p169,5
c16,p7,5
c16,p1928,3
c16,p1436,8
c16,p399,11
c16,p922,4
c16,p134,2
c16,p614,4
c16,p131,5
c16,p2595,1
c16,p144,2
c16,p21,2
c16,p2865,5
c16,p2867,5
c16,p2987,5
c16,p2986,5
c16,p124,5
c16,p633,5
c16,p632,5
c16,p1492,4
c16,p827,4
c16,p1082,8
c16,p2868,1
c16,p66,1
c16,p1215,1
c16,p220,1
c16,p1225,2
c16,p583,4
c16,p764,4
c16,p355,4
c16,p185,4
c16,p463,7
c16,p1721,4
c16,p878,2
c16,p435,2
c16,p1017,4
c16,p94,2
c16,p150,6
c16,p899,1
c16,p642,3
c16,p10,3
c16,p11,3
c16,p972,2
c16,p581,3
c16,p580,3
c16,p579,1
c16,p276,3
c16,p1294,2
c16,p884,1
c16,p428,1
c16,p156,1
c16,p941,1
c16,p1342,2
c16,p430,2
c16,p484,2
c16,p2450,3
c16,p340,2
c16,p2058,2
c16,p1311,3
c16,p3032,2
c16,p3033,2
c16,p3061,2
c16,p640,2
c16,p938,1
c16,p179,3
c16,p95,4
c16,p1296,2
c16,p1424,1
c16,p175,2
c16,p209,1
c16,p960,1
c16,p137,2
c16,p0,9
c16,p916,4
c16,p817,2
c16,p877,2
c17,p71,6
c17,p28,13
c17,p180,6
c17,p181,7
c17,p26,3
c17,p27,18
c17,p2788,1
c17,p9,22
c17,p176,1
c17,p141,3
c17,p497,1
c17,p178,1
c17,p109,1
c17,p2949,2
c17,p1974,5
c17,p102,2
c17,p103,3
c17,p47,1
c17,p382,3
c17,p3062,2
c17,p875,1
c17,p490,7
c17,p364,8
c17,p182,6
c17,p169,7
c17,p57,2
c17,p70,4
c17,p177,6
c17,p878,1
c17,p435,1
c17,p1219,4
c17,p2474,1
c17,p1862,8
c17,p1695,1
c17,p2479,1
c17,p140,2
c17,p428,9
c17,p484,9
c17,p195,1
c17,p5,1
c17,p179,20
c17,p1623,2
c17,p2641,4
c17,p2647,17
c17,p2652,8
c17,p2645,2
c17,p2654,14
c17,p992,3
c17,p0,1
c18,p736,1
c18,p28,1
c18,p180,1
c18,p26,1
c18,p27,1
c18,p3768,4
c18,p3280,1
c18,p3303,2
c18,p361,3
c18,p3769,2
c18,p3712,3
c18,p546,3
c18,p788,1
c18,p3422,2
c18,p3531,2
c18,p3019,7
c18,p3269,1
c18,p299,5
c18,p184,7
c18,p138,3
c18,p2833,2
c18,p3032,3
c18,p1251,2
c18,p3061,3
c18,p194,2
c18,p786,5
c19,p2768,1
c19,p81,1
c19,p181,1
c19,p27,1
c19,p1025,5
c19,p187,1
c19,p794,1
c19,p141,1
c19,p550,2
c19,p2741,1
c19,p2757,1
c19,p3007,1
c19,p1587,1
c19,p787,1
c19,p385,2
c19,p193,2
c19,p1078,1
c19,p3235,1
c19,p2205,1
c19,p2197,1
c19,p90,2
c19,p155,1
c19,p674,1
c19,p188,2
c19,p2949,1
c19,p905,1
c19,p2950,1
c19,p2806,3
c19,p103,1
c19,p585,1
c19,p546,2
c19,p829,1
c19,p1318,1
c19,p416,1
c19,p132,1
c19,p130,1
c19,p91,2
c19,p573,2
c19,p904,1
c19,p490,1
c19,p174,1
c19,p364,3
c19,p182,4
c19,p170,4
c19,p3440,2
c19,p171,3
c19,p169,4
c19,p344,2
c19,p134,1
c19,p3474,1
c19,p3468,1
c19,p3476,1
c19,p131,1
c19,p1079,4
c19,p3423,1
c19,p192,3
c19,p3428,2
c19,p3422,2
c19,p57,3
c19,p575,1
c19,p2807,5
c19,p144,1
c19,p214,3
c19,p3425,2
c19,p2868,1
c19,p66,2
c19,p2873,2
c19,p1498,1
c19,p3486,1
c19,p3271,1
c19,p2117,1
c19,p583,2
c19,p596,2
c19,p961,2
c19,p2808,1
c19,p1411,2
c19,p357,2
c19,p3459,1
c19,p185,4
c19,p561,2
c19,p3480,2
c19,p1721,1
c19,p1488,2
c19,p782,2
c19,p871,1
c19,p87,3
c19,p190,1
c19,p1862,1
c19,p370,2
c19,p692,1
c19,p581,1
c19,p580,1
c19,p579,2
c19,p142,1
c19,p1028,1
c19,p592,1
c19,p1016,1
c19,p186,3
c19,p865,1
c19,p1027,1
c19,p1886,2
c19,p1119,1
c19,p1211,1
c19,p140,1
c19,p428,1
c19,p156,2
c19,p100,1
c19,p2649,1
c19,p324,2
c19,p3166,1
c19,p195,3
c19,p881,1
c19,p5,1
c19,p451,1
c19,p3464,1
c19,p3298,1
c19,p3156,1
c19,p3142,1
c19,p33,1
c19,p153,1
c19,p191,1
c19,p938,1
c19,p189,2
c19,p3704,1
c19,p688,1
c19,p1424,1
c19,p175,2
c19,p3302,1
c19,p194,3
c19,p1015,2
c19,p543,2
c19,p2472,2
c19,p89,2
c19,p3477,1
c20,p975,1
c20,p3508,1
c20,p3507,1
c20,p1247,1
c20,p1246,1
c20,p1513,1
c20,p71,1
c20,p1883,1
c20,p469,3
c20,p26,1
c20,p3673,1
c20,p229,1
c20,p239,1
c20,p1873,1
c20,p204,1
c20,p989,1
c20,p217,1
c20,p3462,1
c20,p196,1
c20,p231,1
c20,p197,1
c20,p3304,1
c20,p3303,1
c20,p247,1
c20,p238,1
c20,p448,2
c20,p1993,1
c20,p111,1
c20,p319,1
c20,p473,1
c20,p1381,2
c20,p212,1
c20,p216,1
c20,p819,1
c20,p249,1
c20,p157,1
c20,p1407,2
c20,p246,1
c20,p210,1
c20,p322,1
c20,p321,1
c20,p222,1
c20,p243,1
