cid,pid,rank
c1007,p240,15
c1007,p3155,16
c1007,p270,17
c1007,p78,18
c1007,p580,19
c1007,p2313,20
c1009,p428,1
c1009,p0,2
c1009,p1219,3
c1009,p124,4
c1009,p177,5
c1009,p2975,6
c1009,p2058,7
c1009,p9,8
c1009,p46,9
c1009,p66,10
c1009,p604,11
c1009,p134,12
c1009,p21,13
c1009,p77,14
c1009,p240,15
c1009,p3155,16
c1009,p270,17
c1009,p580,18
c1009,p2313,19
c1009,p242,20
c101,p428,1
c101,p0,2
c101,p1219,3
c101,p124,4
c101,p177,5
c101,p2975,6
c101,p2058,7
c101,p9,8
c101,p46,9
c101,p66,10
c101,p604,11
c101,p134,12
c101,p21,13
c101,p77,14
c101,p240,15
c101,p3155,16
c101,p270,17
c101,p78,18
c101,p580,19
c101,p2313,20
c1010,p428,1
c1010,p0,2
c1010,p1219,3
c1010,p124,4
c1010,p177,5
c1010,p2975,6
c1010,p2058,7
c1010,p9,8
c1010,p46,9
c1010,p66,10
c1010,p604,11
c1010,p134,12
c1010,p21,13
c1010,p77,14
c1010,p3155,15
c1010,p78,16
c1010,p580,17
c1010,p344,18
c1010,p150,19
c1010,p3428,20
c1011,p428,1
c1011,p0,2
c1011,p124,3
c1011,p177,4
c1011,p2058,5
c1011,p9,6
c1011,p46,7
c1011,p66,8
c1011,p604,9
c1011,p21,10
c1011,p3155,11
c1011,p78,12
c1011,p580,13
c1011,p2313,14
c1011,p242,15
c1011,p271,16
c1011,p3428,17
c1011,p3019,18
c1011,p2640,19
c1011,p349,20
c1012,p428,1
c1012,p177,2
c1012,p2058,3
c1012,p9,4
c1012,p46,5
c1012,p66,6
c1012,p604,7
c1012,p134,8
c1012,p21,9
c1012,p77,10
c1012,p240,11
c1012,p3155,12
c1012,p270,13
c1012,p78,14
c1012,p580,15
c1012,p2313,16
c1012,p242,17
c1012,p271,18
c1012,p344,19
c1012,p150,20
c1014,p428,1
c1014,p0,2
c1014,p1219,3
c1014,p124,4
c1014,p177,5
c1014,p2975,6
c1014,p2058,7
c1014,p9,8
c1014,p46,9
c1014,p66,10
c1014,p604,11
c1014,p134,12
c1014,p77,13
c1014,p240,14
c1014,p3155,15
c1014,p270,16
c1014,p78,17
c1014,p580,18
c1014,p242,19
c1014,p271,20
c1015,p428,1
c1015,p0,2
c1015,p1219,3
c1015,p2975,4
c1015,p9,5
c1015,p46,6
c1015,p66,7
c1015,p134,8
c1015,p21,9
c1015,p77,10
c1015,p240,11
c1015,p270,12
c1015,p78,13
c1015,p2313,14
c1015,p271,15
c1015,p344,16
c1015,p150,17
c1015,p3428,18
c1015,p3019,19
c1015,p2640,20
c1016,p428,1
c1016,p0,2
c1016,p1219,3
c1016,p124,4
c1016,p177,5
c1016,p2975,6
c1016,p2058,7
c1016,p9,8
c1016,p46,9
c1016,p66,10
c1016,p604,11
c1016,p134,12
c1016,p21,13
c1016,p77,14
c1016,p240,15
c1016,p3155,16
c1016,p270,17
c1016,p78,18
c1016,p580,19
c1016,p2313,20
c1017,p0,1
c1017,p9,2
c1017,p66,3
c1017,p604,4
c1017,p21,5
c1017,p3155,6
c1017,p270,7
c1017,p78,8
c1017,p580,9
c1017,p242,10
c1017,p271,11
c1017,p150,12
c1017,p3428,13
c1017,p349,14
c1017,p54,15
c1017,p2868,16
c1017,p2057,17
c1017,p324,18
c1017,p282,19
c1017,p131,20
c1018,p428,1
c1018,p0,2
c1018,p1219,3
c1018,p124,4
c1018,p177,5
c1018,p2975,6
c1018,p2058,7
c1018,p9,8
c1018,p46,9
c1018,p66,10
c1018,p604,11
c1018,p21,12
c1018,p77,13
c1018,p240,14
c1018,p3155,15
c1018,p270,16
c1018,p78,17
c1018,p580,18
c1018,p2313,19
c1018,p242,20
c1019,p177,1
c1019,p2975,2
c1019,p2058,3
c1019,p9,4
c1019,p66,5
c1019,p77,6
c1019,p240,7
c1019,p3155,8
c1019,p270,9
c1019,p78,10
c1019,p580,11
c1019,p2313,12
c1019,p242,13
c1019,p271,14
c1019,p344,15
c1019,p3428,16
c1019,p3019,17
c1019,p54,18
c1019,p2868,19
c1019,p2668,20
c102,p0,1
c102,p1219,2
c102,p124,3
c102,p177,4
c102,p2975,5
c102,p2058,6
c102,p9,7
c102,p46,8
c102,p66,9
c102,p604,10
c102,p134,11
c102,p21,12
c102,p77,13
c102,p240,14
c102,p3155,15
c102,p270,16
c102,p78,17
c102,p580,18
c102,p2313,19
c102,p242,20
c1020,p124,1
c1020,p177,2
c1020,p2058,3
c1020,p46,4
c1020,p66,5
c1020,p21,6
c1020,p77,7
c1020,p240,8
c1020,p3155,9
c1020,p270,10
c1020,p78,11
c1020,p580,12
c1020,p2313,13
c1020,p242,14
c1020,p271,15
c1020,p150,16
c1020,p3428,17
c1020,p3019,18
c1020,p2640,19
c1020,p349,20
c1021,p428,1
c1021,p0,2
c1021,p1219,3
c1021,p2975,4
c1021,p2058,5
c1021,p9,6
c1021,p604,7
c1021,p134,8
c1021,p21,9
c1021,p77,10
c1021,p240,11
c1021,p3155,12
c1021,p270,13
c1021,p78,14
c1021,p580,15
c1021,p2313,16
c1021,p242,17
c1021,p271,18
c1021,p344,19
c1021,p150,20
c1022,p1219,1
c1022,p124,2
c1022,p177,3
c1022,p2975,4
c1022,p9,5
c1022,p46,6
c1022,p66,7
c1022,p604,8
c1022,p21,9
c1022,p77,10
c1022,p240,11
c1022,p3155,12
c1022,p270,13
c1022,p78,14
c1022,p2313,15
c1022,p242,16
c1022,p271,17
c1022,p344,18
c1022,p150,19
c1022,p3428,20
c1023,p428,1
c1023,p0,2
c1023,p1219,3
c1023,p124,4
c1023,p177,5
c1023,p2975,6
c1023,p2058,7
c1023,p9,8
c1023,p46,9
c1023,p66,10
c1023,p134,11
c1023,p21,12
c1023,p77,13
c1023,p240,14
c1023,p3155,15
c1023,p270,16
c1023,p78,17
c1023,p580,18
c1023,p2313,19
c1023,p242,20
c1024,p0,1
c1024,p1219,2
c1024,p124,3
c1024,p177,4
c1024,p2975,5
c1024,p2058,6
c1024,p9,7
c1024,p46,8
c1024,p66,9
c1024,p604,10
c1024,p134,11
c1024,p21,12
c1024,p77,13
c1024,p240,14
c1024,p3155,15
c1024,p270,16
c1024,p78,17
c1024,p580,18
c1024,p2313,19
c1024,p242,20
c1025,p428,1
c1025,p0,2
c1025,p2975,3
c1025,p2058,4
c1025,p9,5
c1025,p46,6
c1025,p66,7
c1025,p134,8
c1025,p21,9
c1025,p77,10
c1025,p240,11
c1025,p3155,12
c1025,p270,13
c1025,p78,14
c1025,p580,15
c1025,p2313,16
c1025,p242,17
c1025,p271,18
c1025,p344,19
c1025,p150,20
c1026,p428,1
c1026,p0,2
c1026,p1219,3
c1026,p124,4
c1026,p177,5
c1026,p2975,6
c1026,p2058,7
c1026,p9,8
c1026,p46,9
c1026,p66,10
c1026,p604,11
c1026,p134,12
c1026,p21,13
c1026,p77,14
c1026,p3155,15
c1026,p270,16
c1026,p78,17
c1026,p580,18
c1026,p2313,19
c1026,p242,20
c1027,p0,1
c1027,p124,2
c1027,p177,3
c1027,p2058,4
c1027,p9,5
c1027,p46,6
c1027,p66,7
c1027,p134,8
c1027,p77,9
c1027,p240,10
c1027,p3155,11
c1027,p270,12
c1027,p580,13
c1027,p2313,14
c1027,p242,15
c1027,p271,16
c1027,p344,17
c1027,p150,18
c1027,p3428,19
c1027,p3019,20
c1030,p428,1
c1030,p0,2
c1030,p124,3
c1030,p177,4
c1030,p2975,5
c1030,p2058,6
c1030,p9,7
c1030,p46,8
c1030,p66,9
c1030,p604,10
c1030,p134,11
c1030,p21,12
c1030,p77,13
c1030,p240,14
c1030,p3155,15
c1030,p270,16
c1030,p78,17
c1030,p580,18
c1030,p2313,19
c1030,p242,20
c1031,p428,1
c1031,p0,2
c1031,p1219,3
c1031,p124,4
c1031,p177,5
c1031,p2975,6
c1031,p2058,7
c1031,p9,8
c1031,p46,9
c1031,p66,10
c1031,p604,11
c1031,p134,12
c1031,p21,13
c1031,p77,14
c1031,p240,15
c1031,p3155,16
c1031,p270,17
c1031,p78,18
c1031,p580,19
c1031,p242,20
c1032,p428,1
c1032,p0,2
c1032,p124,3
c1032,p177,4
c1032,p2975,5
c1032,p2058,6
c1032,p9,7
c1032,p46,8
c1032,p604,9
c1032,p134,10
c1032,p21,11
c1032,p77,12
c1032,p240,13
c1032,p3155,14
c1032,p78,15
c1032,p580,16
c1032,p271,17
c1032,p344,18
c1032,p3428,19
c1032,p54,20
c1033,p0,1
c1033,p1219,2
c1033,p124,3
c1033,p177,4
c1033,p2058,5
c1033,p46,6
c1033,p66,7
c1033,p604,8
c1033,p134,9
c1033,p21,10
c1033,p77,11
c1033,p240,12
c1033,p3155,13
c1033,p270,14
c1033,p78,15
c1033,p580,16
c1033,p2313,17
c1033,p242,18
c1033,p271,19
c1033,p344,20
c1036,p428,1
c1036,p0,2
c1036,p1219,3
c1036,p124,4
c1036,p177,5
c1036,p2975,6
c1036,p2058,7
c1036,p46,8
c1036,p604,9
c1036,p134,10
c1036,p21,11
c1036,p77,12
c1036,p240,13
c1036,p3155,14
c1036,p270,15
c1036,p580,16
c1036,p242,17
c1036,p271,18
c1036,p344,19
c1036,p150,20
c1037,p428,1
c1037,p0,2
c1037,p1219,3
c1037,p177,4
c1037,p2975,5
c1037,p2058,6
c1037,p9,7
c1037,p46,8
c1037,p66,9
c1037,p604,10
c1037,p134,11
c1037,p21,12
c1037,p77,13
c1037,p240,14
c1037,p3155,15
c1037,p270,16
c1037,p78,17
c1037,p580,18
c1037,p2313,19
c1037,p242,20
c1038,p428,1
c1038,p1219,2
c1038,p124,3
c1038,p177,4
c1038,p2975,5
c1038,p46,6
c1038,p66,7
c1038,p604,8
c1038,p134,9
c1038,p21,10
c1038,p77,11
c1038,p240,12
c1038,p3155,13
c1038,p270,14
c1038,p78,15
c1038,p2313,16
c1038,p242,17
c1038,p271,18
c1038,p344,19
c1038,p150,20
c1039,p1219,1
c1039,p177,2
c1039,p2975,3
c1039,p2058,4
c1039,p9,5
c1039,p66,6
c1039,p604,7
c1039,p134,8
c1039,p77,9
c1039,p3155,10
c1039,p78,11
c1039,p580,12
c1039,p2313,13
c1039,p344,14
c1039,p150,15
c1039,p3428,16
c1039,p3019,17
c1039,p2640,18
c1039,p349,19
c1039,p54,20
c104,p0,1
c104,p1219,2
c104,p124,3
c104,p2058,4
c104,p9,5
c104,p604,6
c104,p134,7
c104,p21,8
c104,p77,9
c104,p240,10
c104,p3155,11
c104,p78,12
c104,p580,13
c104,p2313,14
c104,p344,15
c104,p3428,16
c104,p3019,17
c104,p2640,18
c104,p349,19
c104,p54,20
c1040,p428,1
c1040,p0,2
c1040,p1219,3
c1040,p124,4
c1040,p177,5
c1040,p9,6
c1040,p46,7
c1040,p66,8
c1040,p134,9
c1040,p21,10
c1040,p77,11
c1040,p240,12
c1040,p3155,13
c1040,p270,14
c1040,p78,15
c1040,p580,16
c1040,p2313,17
c1040,p242,18
c1040,p271,19
c1040,p344,20
c1041,p428,1
c1041,p1219,2
c1041,p177,3
c1041,p2975,4
c1041,p2058,5
c1041,p9,6
c1041,p46,7
c1041,p66,8
c1041,p604,9
c1041,p21,10
c1041,p77,11
c1041,p3155,12
c1041,p270,13
c1041,p78,14
c1041,p580,15
c1041,p2313,16
c1041,p271,17
c1041,p344,18
c1041,p150,19
c1041,p3428,20
c1042,p1219,1
c1042,p124,2
c1042,p2975,3
c1042,p2058,4
c1042,p46,5
c1042,p66,6
c1042,p604,7
c1042,p134,8
c1042,p21,9
c1042,p77,10
c1042,p240,11
c1042,p3155,12
c1042,p270,13
c1042,p78,14
c1042,p580,15
c1042,p2313,16
c1042,p242,17
c1042,p271,18
c1042,p150,19
c1042,p3428,20
c1044,p428,1
c1044,p0,2
c1044,p1219,3
c1044,p124,4
c1044,p177,5
c1044,p2975,6
c1044,p2058,7
c1044,p9,8
c1044,p46,9
c1044,p66,10
c1044,p604,11
c1044,p134,12
c1044,p21,13
c1044,p77,14
c1044,p240,15
c1044,p3155,16
c1044,p270,17
c1044,p78,18
c1044,p580,19
c1044,p2313,20
c1045,p428,1
c1045,p0,2
c1045,p1219,3
c1045,p124,4
c1045,p177,5
c1045,p2975,6
c1045,p2058,7
c1045,p9,8
c1045,p46,9
c1045,p66,10
c1045,p21,11
c1045,p77,12
c1045,p240,13
c1045,p3155,14
c1045,p270,15
c1045,p78,16
c1045,p580,17
c1045,p2313,18
c1045,p242,19
c1045,p271,20
c1046,p428,1
c1046,p1219,2
c1046,p177,3
c1046,p2975,4
c1046,p2058,5
c1046,p9,6
c1046,p134,7
c1046,p21,8
c1046,p77,9
c1046,p3155,10
c1046,p78,11
c1046,p580,12
c1046,p2313,13
c1046,p344,14
c1046,p150,15
c1046,p3428,16
c1046,p3019,17
c1046,p2640,18
c1046,p349,19
c1046,p54,20
c1047,p428,1
c1047,p1219,2
c1047,p124,3
c1047,p177,4
c1047,p2975,5
c1047,p2058,6
c1047,p9,7
c1047,p46,8
c1047,p66,9
c1047,p604,10
c1047,p134,11
c1047,p21,12
c1047,p77,13
c1047,p240,14
c1047,p3155,15
c1047,p270,16
c1047,p78,17
c1047,p580,18
c1047,p2313,19
c1047,p242,20
c1048,p428,1
c1048,p0,2
c1048,p1219,3
c1048,p124,4
c1048,p177,5
c1048,p2975,6
c1048,p2058,7
c1048,p9,8
c1048,p46,9
c1048,p66,10
c1048,p604,11
c1048,p134,12
c1048,p21,13
c1048,p77,14
c1048,p240,15
c1048,p3155,16
c1048,p270,17
c1048,p78,18
c1048,p580,19
c1048,p2313,20
c1049,p428,1
c1049,p0,2
c1049,p1219,3
c1049,p124,4
c1049,p177,5
c1049,p2975,6
c1049,p9,7
c1049,p46,8
c1049,p66,9
c1049,p240,10
c1049,p3155,11
c1049,p270,12
c1049,p78,13
c1049,p580,14
c1049,p2313,15
c1049,p242,16
c1049,p271,17
c1049,p150,18
c1049,p3428,19
c1049,p2640,20
c105,p428,1
c105,p0,2
c105,p1219,3
c105,p124,4
c105,p177,5
c105,p2975,6
c105,p2058,7
c105,p9,8
c105,p46,9
c105,p66,10
c105,p604,11
c105,p134,12
c105,p21,13
c105,p77,14
c105,p240,15
c105,p270,16
c105,p78,17
c105,p580,18
c105,p2313,19
c105,p242,20
c1050,p428,1
c1050,p0,2
c1050,p1219,3
c1050,p124,4
c1050,p177,5
c1050,p2975,6
c1050,p2058,7
c1050,p9,8
c1050,p66,9
c1050,p604,10
c1050,p134,11
c1050,p21,12
c1050,p77,13
c1050,p240,14
c1050,p3155,15
c1050,p270,16
c1050,p78,17
c1050,p580,18
c1050,p2313,19
c1050,p242,20
c1051,p428,1
c1051,p0,2
c1051,p1219,3
c1051,p124,4
c1051,p177,5
c1051,p2058,6
c1051,p9,7
c1051,p46,8
c1051,p66,9
c1051,p604,10
c1051,p134,11
c1051,p21,12
c1051,p240,13
c1051,p3155,14
c1051,p270,15
c1051,p78,16
c1051,p580,17
c1051,p2313,18
c1051,p242,19
c1051,p271,20
c1052,p428,1
c1052,p0,2
c1052,p124,3
c1052,p177,4
c1052,p2975,5
c1052,p2058,6
c1052,p46,7
c1052,p66,8
c1052,p604,9
c1052,p134,10
c1052,p21,11
c1052,p77,12
c1052,p240,13
c1052,p3155,14
c1052,p270,15
c1052,p78,16
c1052,p580,17
c1052,p242,18
c1052,p271,19
c1052,p344,20
c1053,p428,1
c1053,p0,2
c1053,p1219,3
c1053,p124,4
c1053,p177,5
c1053,p2975,6
c1053,p2058,7
c1053,p9,8
c1053,p46,9
c1053,p66,10
c1053,p604,11
c1053,p134,12
c1053,p21,13
c1053,p77,14
c1053,p240,15
c1053,p3155,16
c1053,p270,17
c1053,p78,18
c1053,p580,19
c1053,p2313,20
c1054,p428,1
c1054,p1219,2
c1054,p177,3
c1054,p2975,4
c1054,p2058,5
c1054,p9,6
c1054,p46,7
c1054,p66,8
c1054,p604,9
c1054,p240,10
c1054,p3155,11
c1054,p270,12
c1054,p78,13
c1054,p2313,14
c1054,p242,15
c1054,p271,16
c1054,p150,17
c1054,p3019,18
c1054,p349,19
c1054,p54,20
c1055,p428,1
c1055,p0,2
c1055,p1219,3
c1055,p124,4
c1055,p2975,5
c1055,p2058,6
c1055,p9,7
c1055,p46,8
c1055,p66,9
c1055,p604,10
c1055,p134,11
c1055,p21,12
c1055,p77,13
c1055,p3155,14
c1055,p270,15
c1055,p580,16
c1055,p2313,17
c1055,p242,18
c1055,p271,19
c1055,p344,20
c1056,p428,1
c1056,p0,2
c1056,p1219,3
c1056,p124,4
c1056,p177,5
c1056,p2058,6
c1056,p9,7
c1056,p46,8
c1056,p66,9
c1056,p604,10
c1056,p134,11
c1056,p21,12
c1056,p240,13
c1056,p3155,14
c1056,p270,15
c1056,p78,16
c1056,p580,17
c1056,p2313,18
c1056,p242,19
c1056,p271,20
c1057,p428,1
c1057,p0,2
c1057,p1219,3
c1057,p124,4
c1057,p177,5
c1057,p2975,6
c1057,p2058,7
c1057,p9,8
c1057,p66,9
c1057,p604,10
c1057,p134,11
c1057,p3155,12
c1057,p78,13
c1057,p580,14
c1057,p2313,15
c1057,p344,16
c1057,p150,17
c1057,p3428,18
c1057,p3019,19
c1057,p349,20
c1058,p428,1
c1058,p1219,2
c1058,p124,3
c1058,p177,4
c1058,p2975,5
c1058,p2058,6
c1058,p9,7
c1058,p46,8
c1058,p66,9
c1058,p604,10
c1058,p134,11
c1058,p21,12
c1058,p77,13
c1058,p240,14
c1058,p3155,15
c1058,p270,16
c1058,p78,17
c1058,p580,18
c1058,p2313,19
c1058,p242,20
c1059,p428,1
c1059,p0,2
c1059,p1219,3
c1059,p124,4
c1059,p177,5
c1059,p2975,6
c1059,p2058,7
c1059,p9,8
c1059,p46,9
c1059,p66,10
c1059,p604,11
c1059,p134,12
c1059,p21,13
c1059,p77,14
c1059,p240,15
c1059,p3155,16
c1059,p270,17
c1059,p78,18
c1059,p580,19
c1059,p2313,20
c106,p0,1
c106,p1219,2
c106,p124,3
c106,p177,4
c106,p2975,5
c106,p9,6
c106,p46,7
c106,p66,8
c106,p604,9
c106,p134,10
c106,p21,11
c106,p240,12
c106,p270,13
c106,p78,14
c106,p2313,15
c106,p242,16
c106,p271,17
c106,p344,18
c106,p150,19
c106,p3428,20
c1060,p428,1
c1060,p1219,2
c1060,p124,3
c1060,p177,4
c1060,p2975,5
c1060,p9,6
c1060,p46,7
c1060,p66,8
c1060,p604,9
c1060,p134,10
c1060,p21,11
c1060,p77,12
c1060,p240,13
c1060,p3155,14
c1060,p270,15
c1060,p78,16
c1060,p580,17
c1060,p2313,18
c1060,p242,19
c1060,p271,20
c1061,p428,1
c1061,p0,2
c1061,p1219,3
c1061,p124,4
c1061,p177,5
c1061,p2975,6
c1061,p2058,7
c1061,p9,8
c1061,p46,9
c1061,p66,10
c1061,p604,11
c1061,p134,12
c1061,p21,13
c1061,p77,14
c1061,p240,15
c1061,p3155,16
c1061,p580,17
c1061,p2313,18
c1061,p271,19
c1061,p344,20
c1062,p428,1
c1062,p0,2
c1062,p1219,3
c1062,p124,4
c1062,p177,5
c1062,p2975,6
c1062,p2058,7
c1062,p9,8
c1062,p66,9
c1062,p134,10
c1062,p21,11
c1062,p77,12
c1062,p240,13
c1062,p3155,14
c1062,p270,15
c1062,p78,16
c1062,p2313,17
c1062,p242,18
c1062,p271,19
c1062,p344,20
c1064,p428,1
c1064,p0,2
c1064,p124,3
c1064,p177,4
c1064,p2975,5
c1064,p9,6
c1064,p66,7
c1064,p604,8
c1064,p134,9
c1064,p77,10
c1064,p240,11
c1064,p3155,12
c1064,p270,13
c1064,p78,14
c1064,p580,15
c1064,p2313,16
c1064,p271,17
c1064,p344,18
c1064,p2640,19
c1064,p349,20
c1065,p0,1
c1065,p1219,2
c1065,p124,3
c1065,p177,4
c1065,p2975,5
c1065,p2058,6
c1065,p9,7
c1065,p46,8
c1065,p66,9
c1065,p604,10
c1065,p134,11
c1065,p21,12
c1065,p77,13
c1065,p240,14
c1065,p3155,15
c1065,p270,16
c1065,p78,17
c1065,p580,18
c1065,p2313,19
c1065,p242,20
c1066,p428,1
c1066,p0,2
c1066,p1219,3
c1066,p124,4
c1066,p177,5
c1066,p2975,6
c1066,p2058,7
c1066,p9,8
c1066,p46,9
c1066,p66,10
c1066,p134,11
c1066,p77,12
c1066,p240,13
c1066,p3155,14
c1066,p270,15
c1066,p78,16
c1066,p580,17
c1066,p2313,18
c1066,p242,19
c1066,p271,20
c1067,p428,1
c1067,p0,2
c1067,p1219,3
c1067,p124,4
c1067,p177,5
c1067,p2975,6
c1067,p2058,7
c1067,p9,8
c1067,p46,9
c1067,p66,10
c1067,p604,11
c1067,p134,12
c1067,p21,13
c1067,p77,14
c1067,p3155,15
c1067,p78,16
c1067,p580,17
c1067,p2313,18
c1067,p271,19
c1067,p344,20
c1068,p0,1
c1068,p1219,2
c1068,p177,3
c1068,p2975,4
c1068,p2058,5
c1068,p9,6
c1068,p46,7
c1068,p66,8
c1068,p604,9
c1068,p134,10
c1068,p21,11
c1068,p240,12
c1068,p3155,13
c1068,p270,14
c1068,p78,15
c1068,p580,16
c1068,p2313,17
c1068,p242,18
c1068,p271,19
c1068,p344,20
c1069,p0,1
c1069,p1219,2
c1069,p2975,3
c1069,p2058,4
c1069,p9,5
c1069,p134,6
c1069,p21,7
c1069,p77,8
c1069,p240,9
c1069,p270,10
c1069,p2313,11
c1069,p242,12
c1069,p271,13
c1069,p344,14
c1069,p150,15
c1069,p3428,16
c1069,p3019,17
c1069,p2640,18
c1069,p349,19
c1069,p54,20
c107,p428,1
c107,p0,2
c107,p1219,3
c107,p124,4
c107,p177,5
c107,p2975,6
c107,p9,7
c107,p46,8
c107,p66,9
c107,p604,10
c107,p134,11
c107,p21,12
c107,p77,13
c107,p240,14
c107,p3155,15
c107,p270,16
c107,p78,17
c107,p2313,18
c107,p242,19
c107,p271,20
c1071,p428,1
c1071,p177,2
c1071,p2058,3
c1071,p9,4
c1071,p604,5
c1071,p134,6
c1071,p21,7
c1071,p77,8
c1071,p3155,9
c1071,p270,10
c1071,p78,11
c1071,p580,12
c1071,p2313,13
c1071,p271,14
c1071,p344,15
c1071,p150,16
c1071,p3428,17
c1071,p3019,18
c1071,p2640,19
c1071,p349,20
c1072,p428,1
c1072,p1219,2
c1072,p124,3
c1072,p177,4
c1072,p2975,5
c1072,p2058,6
c1072,p9,7
c1072,p46,8
c1072,p66,9
c1072,p604,10
c1072,p134,11
c1072,p240,12
c1072,p3155,13
c1072,p270,14
c1072,p78,15
c1072,p580,16
c1072,p2313,17
c1072,p242,18
c1072,p271,19
c1072,p344,20
c1073,p428,1
c1073,p0,2
c1073,p1219,3
c1073,p177,4
c1073,p2975,5
c1073,p2058,6
c1073,p9,7
c1073,p604,8
c1073,p134,9
c1073,p21,10
c1073,p78,11
c1073,p580,12
c1073,p2313,13
c1073,p150,14
c1073,p3428,15
c1073,p3019,16
c1073,p2640,17
c1073,p349,18
c1073,p54,19
c1073,p153,20
c1074,p0,1
c1074,p1219,2
c1074,p177,3
c1074,p2975,4
c1074,p66,5
c1074,p21,6
c1074,p77,7
c1074,p270,8
c1074,p78,9
c1074,p242,10
c1074,p344,11
c1074,p3019,12
c1074,p2640,13
c1074,p2868,14
c1074,p2668,15
c1074,p153,16
c1074,p2057,17
c1074,p27,18
c1074,p282,19
c1074,p131,20
c1075,p1219,1
c1075,p2975,2
c1075,p134,3
c1075,p77,4
c1075,p3155,5
c1075,p270,6
c1075,p78,7
c1075,p2313,8
c1075,p344,9
c1075,p3428,10
c1075,p3019,11
c1075,p2640,12
c1075,p349,13
c1075,p54,14
c1075,p2868,15
c1075,p153,16
c1075,p2057,17
c1075,p324,18
c1075,p27,19
c1075,p131,20
c1076,p428,1
c1076,p1219,2
c1076,p124,3
c1076,p177,4
c1076,p2975,5
c1076,p2058,6
c1076,p46,7
c1076,p604,8
c1076,p134,9
c1076,p21,10
c1076,p240,11
c1076,p3155,12
c1076,p270,13
c1076,p580,14
c1076,p2313,15
c1076,p242,16
c1076,p271,17
c1076,p344,18
c1076,p150,19
c1076,p3428,20
c1077,p428,1
c1077,p0,2
c1077,p1219,3
c1077,p124,4
c1077,p177,5
c1077,p2975,6
c1077,p2058,7
